"species_code","common_name","scientific_name","luomus_name","suomenkielinen_nimi","class"
"eubeat1","European Bee-eater","Merops apiaster","Merops apiaster","mehiläissyöjä",105
"gragoo","Graylag Goose","Anser anser","Anser anser","merihanhi",106
"euroys1","Eurasian Oystercatcher","Haematopus ostralegus","Haematopus ostralegus","meriharakka",107
"parjae","Parasitic Jaeger","Stercorarius parasiticus","Stercorarius parasiticus","merikihu",108
"whteag","White-tailed Eagle","Haliaeetus albicilla","Haliaeetus albicilla","merikotka",109
"gbbgul","Great Black-backed Gull","Larus marinus","Larus marinus","merilokki",110
"grecor","Great Cormorant","Phalacrocorax carbo","Phalacrocorax carbo","merimetso",111
"pursan","Purple Sandpiper","Calidris maritima","Calidris maritima","merisirri",112
"wescap1","Western Capercaillie","Tetrao urogallus","Tetrao urogallus","metso",113
"taibeg1","Taiga Bean-Goose","Anser fabalis","Anser fabalis","metsähanhi",114
"trepip","Tree Pipit","Anthus trivialis","Anthus trivialis","metsäkirvinen",115
"grnsan","Green Sandpiper","Tringa ochropus","Tringa ochropus","metsäviklo",116
"horgre","Horned Grebe","Podiceps auritus","Podiceps auritus","mustakurkku-uikku",117
"blared1","Black Redstart","Phoenicurus ochruros","Phoenicurus ochruros","mustaleppälintu",118
"blksco1","Common Scoter","Melanitta nigra","Melanitta nigra","mustalintu",119
"bktgod","Black-tailed Godwit","Limosa limosa","Limosa limosa","mustapyrstökuiri",120
"blackc1","Eurasian Blackcap","Sylvia atricapilla","Sylvia atricapilla","mustapääkerttu",121
